frame,predicted_count,gold_count,true_positives,false_positives,false_negatives,precision,recall,f1,localization_rmse_px,seed_count,otsu_threshold,high_threshold,low_threshold
279,368,548,319,49,229,0.866848,0.582117,0.696507,3.973849,368,20.638338,24.766006,0.825534
280,364,553,313,51,240,0.859890,0.566004,0.682661,3.987798,364,20.872974,25.047569,0.834919
281,373,557,323,50,234,0.865952,0.579892,0.694624,3.896044,373,20.412677,24.495212,0.816507
282,370,565,323,47,242,0.872973,0.571681,0.690909,3.920759,370,20.340954,24.409144,0.813638
283,386,569,331,55,238,0.857513,0.581722,0.693194,3.752326,386,20.192628,24.231154,0.807705
284,387,575,333,54,242,0.860465,0.579130,0.692308,3.688642,387,20.139758,24.167709,0.805590
285,395,578,337,58,241,0.853165,0.583045,0.692703,3.709122,395,20.334179,24.401015,0.813367
286,399,590,342,57,248,0.857143,0.579661,0.691608,3.721632,399,20.115256,24.138307,0.804610
287,405,600,347,58,253,0.856790,0.578333,0.690547,3.707770,405,19.885619,23.862743,0.795425
288,405,605,347,58,258,0.856790,0.573554,0.687129,3.690541,405,19.912072,23.894486,0.796483
289,407,609,345,62,264,0.847666,0.566502,0.679134,3.800479,407,19.915795,23.898954,0.796632
290,411,617,352,59,265,0.856448,0.570502,0.684825,3.815211,411,19.588555,23.506266,0.783542
291,409,619,351,58,268,0.858191,0.567044,0.682879,3.827612,409,19.833064,23.799676,0.793323
292,416,626,361,55,265,0.867788,0.576677,0.692898,3.792621,416,19.035484,22.842581,0.761419
293,420,635,361,59,274,0.859524,0.568504,0.684360,3.898741,420,19.012661,22.815193,0.760506
294,416,641,357,59,284,0.858173,0.556942,0.675497,3.835928,416,18.874402,22.649282,0.754976
295,425,640,364,61,276,0.856471,0.568750,0.683568,3.950971,425,18.997700,22.797240,0.759908
296,424,650,363,61,287,0.856132,0.558462,0.675978,4.014144,424,18.553877,22.264652,0.742155
297,432,655,369,63,286,0.854167,0.563359,0.678933,3.926530,432,18.287610,21.945132,0.731504
298,435,658,378,57,280,0.868966,0.574468,0.691674,3.915580,435,18.378674,22.054409,0.735147
299,432,661,372,60,289,0.861111,0.562784,0.680695,3.894643,432,18.427683,22.113220,0.737107
