frame,predicted_count,gold_count,true_positives,false_positives,false_negatives,precision,recall,f1,localization_rmse_px,seed_count,otsu_threshold,high_threshold,low_threshold
55,98,95,87,11,8,0.887755,0.915789,0.901554,3.306067,98,32.574203,39.089044,1.302968
56,96,96,87,9,9,0.906250,0.906250,0.906250,3.574960,96,32.528662,39.034395,1.301146
57,97,96,88,9,8,0.907216,0.916667,0.911917,3.352527,97,31.990938,38.389126,1.279638
58,97,96,88,9,8,0.907216,0.916667,0.911917,3.366696,97,32.416172,38.899406,1.296647
59,99,97,88,11,9,0.888889,0.907216,0.897959,3.290604,99,32.208761,38.650513,1.288350
60,96,98,88,8,10,0.916667,0.897959,0.907216,3.158922,96,32.529399,39.035279,1.301176
61,97,98,91,6,7,0.938144,0.928571,0.933333,3.204041,97,32.213352,38.656023,1.288534
62,97,98,90,7,8,0.927835,0.918367,0.923077,3.185793,97,32.444922,38.933907,1.297797
63,99,98,91,8,7,0.919192,0.928571,0.923858,3.193307,99,32.342926,38.811511,1.293717
64,100,98,90,10,8,0.900000,0.918367,0.909091,3.205102,100,31.790625,38.148750,1.271625
65,100,98,88,12,10,0.880000,0.897959,0.888889,3.018499,100,32.225047,38.670056,1.289002
66,100,99,87,13,12,0.870000,0.878788,0.874372,3.108128,100,32.318515,38.782218,1.292741
67,99,99,88,11,11,0.888889,0.888889,0.888889,3.470994,99,32.397691,38.877229,1.295908
68,101,100,90,11,10,0.891089,0.900000,0.895522,3.471247,101,32.138091,38.565709,1.285524
69,103,100,89,14,11,0.864078,0.890000,0.876847,3.277672,103,32.467552,38.961062,1.298702
70,103,100,91,12,9,0.883495,0.910000,0.896552,3.468764,103,32.482770,38.979324,1.299311
71,104,102,90,14,12,0.865385,0.882353,0.873786,3.061965,104,32.468186,38.961824,1.298727
72,103,102,91,12,11,0.883495,0.892157,0.887805,3.389537,103,32.365335,38.838403,1.294613
73,104,102,91,13,11,0.875000,0.892157,0.883495,3.477115,104,32.111216,38.533459,1.284449
74,106,103,93,13,10,0.877358,0.902913,0.889952,3.079323,106,32.368771,38.842525,1.294751
75,105,103,93,12,10,0.885714,0.902913,0.894231,3.288960,105,32.287632,38.745158,1.291505
76,104,101,89,15,12,0.855769,0.881188,0.868293,3.220658,104,32.198532,38.638239,1.287941
77,105,103,91,14,12,0.866667,0.883495,0.875000,3.489269,105,32.142798,38.571358,1.285712
78,106,104,91,15,13,0.858491,0.875000,0.866667,3.349107,106,32.237492,38.684990,1.289500
79,108,106,94,14,12,0.870370,0.886792,0.878505,3.272124,108,31.797935,38.157522,1.271917
80,109,106,96,13,10,0.880734,0.905660,0.893023,3.252288,109,31.830248,38.196298,1.273210
81,110,106,97,13,9,0.881818,0.915094,0.898148,3.306616,110,32.443263,38.931916,1.297731
82,110,106,97,13,9,0.881818,0.915094,0.898148,3.217786,110,32.249350,38.699219,1.289974
83,110,106,97,13,9,0.881818,0.915094,0.898148,3.188668,110,32.390860,38.869032,1.295634
84,109,107,97,12,10,0.889908,0.906542,0.898148,3.244239,109,32.326804,38.792165,1.293072
85,108,106,95,13,11,0.879630,0.896226,0.887850,3.371314,108,32.107032,38.528438,1.284281
86,108,106,96,12,10,0.888889,0.905660,0.897196,3.601468,108,32.182479,38.618975,1.287299
87,108,105,93,15,12,0.861111,0.885714,0.873239,3.720856,108,32.347241,38.816690,1.293890
88,110,107,94,16,13,0.854545,0.878505,0.866359,3.632087,110,32.165125,38.598150,1.286605
89,111,107,95,16,12,0.855856,0.887850,0.871560,3.560289,111,32.228467,38.674160,1.289139
90,111,106,96,15,10,0.864865,0.905660,0.884793,3.673004,111,32.526002,39.031202,1.301040
91,111,106,94,17,12,0.846847,0.886792,0.866359,3.574952,111,32.242896,38.691475,1.289716
92,113,106,96,17,10,0.849558,0.905660,0.876712,3.575943,113,32.333034,38.799641,1.293321
93,114,107,97,17,10,0.850877,0.906542,0.877828,3.452858,114,32.259321,38.711185,1.290373
94,115,106,96,19,10,0.834783,0.905660,0.868778,3.219702,115,32.316946,38.780335,1.292678
95,114,107,95,19,12,0.833333,0.887850,0.859729,3.255680,114,32.300900,38.761080,1.292036
96,118,107,99,19,8,0.838983,0.925234,0.880000,3.117029,118,32.402150,38.882580,1.296086
97,117,107,99,18,8,0.846154,0.925234,0.883929,3.256606,117,32.670800,39.204960,1.306832
98,117,108,100,17,8,0.854701,0.925926,0.888889,3.411874,117,32.675272,39.210326,1.307011
99,118,109,100,18,9,0.847458,0.917431,0.881057,3.355535,118,32.552983,39.063580,1.302119
100,118,110,98,20,12,0.830508,0.890909,0.859649,3.463129,118,32.698076,39.237691,1.307923
101,116,112,97,19,15,0.836207,0.866071,0.850877,3.645069,116,32.538364,39.046037,1.301535
102,119,112,99,20,13,0.831933,0.883929,0.857143,3.483270,119,32.383786,38.860544,1.295351
103,117,112,96,21,16,0.820513,0.857143,0.838428,3.695721,117,32.524656,39.029588,1.300986
104,121,116,100,21,16,0.826446,0.862069,0.843882,3.615062,121,32.460391,38.952469,1.298416
105,124,122,105,19,17,0.846774,0.860656,0.853659,3.311637,124,32.194823,38.633787,1.287793
106,117,122,99,18,23,0.846154,0.811475,0.828452,3.540274,117,33.888431,40.666117,1.355537
107,121,122,103,18,19,0.851240,0.844262,0.847737,3.317859,121,31.976335,38.371602,1.279053
108,123,125,105,18,20,0.853659,0.840000,0.846774,3.328418,123,31.718858,38.062629,1.268754
109,122,125,105,17,20,0.860656,0.840000,0.850202,3.239116,122,31.743456,38.092147,1.269738
110,125,128,108,17,20,0.864000,0.843750,0.853755,3.126881,125,31.475122,37.770147,1.259005
111,126,130,108,18,22,0.857143,0.830769,0.843750,3.178484,126,31.148604,37.378325,1.245944
112,127,130,109,18,21,0.858268,0.838462,0.848249,3.211162,127,31.067757,37.281308,1.242710
113,128,133,110,18,23,0.859375,0.827068,0.842912,3.296515,128,30.913914,37.096697,1.236557
114,129,136,111,18,25,0.860465,0.816176,0.837736,3.353406,129,30.885484,37.062581,1.235419
115,125,137,107,18,30,0.856000,0.781022,0.816794,3.367376,125,30.657014,36.788417,1.226281
116,129,139,110,19,29,0.852713,0.791367,0.820896,3.196342,129,30.465278,36.558334,1.218611
117,131,141,111,20,30,0.847328,0.787234,0.816176,3.324592,131,30.617663,36.741196,1.224707
118,132,142,113,19,29,0.856061,0.795775,0.824818,3.455570,132,30.608565,36.730278,1.224343
119,134,144,114,20,30,0.850746,0.791667,0.820144,3.396635,134,30.602416,36.722899,1.224097
120,137,144,117,20,27,0.854015,0.812500,0.832740,3.112529,137,30.708438,36.850126,1.228338
121,140,146,120,20,26,0.857143,0.821918,0.839161,3.062289,140,30.694618,36.833542,1.227785
122,140,145,120,20,25,0.857143,0.827586,0.842105,3.079296,140,30.878721,37.054466,1.235149
123,139,150,119,20,31,0.856115,0.793333,0.823529,3.251124,139,30.991842,37.190210,1.239674
124,137,150,119,18,31,0.868613,0.793333,0.829268,3.439957,137,30.802468,36.962962,1.232099
125,133,152,116,17,36,0.872180,0.763158,0.814035,3.456841,133,30.559673,36.671608,1.222387
126,140,153,123,17,30,0.878571,0.803922,0.839590,3.514684,140,30.579464,36.695357,1.223179
127,139,154,120,19,34,0.863309,0.779221,0.819113,3.485043,139,30.696539,36.835847,1.227862
128,144,154,124,20,30,0.861111,0.805195,0.832215,3.634657,144,30.509218,36.611062,1.220369
129,144,157,123,21,34,0.854167,0.783439,0.817276,3.517967,144,30.299498,36.359397,1.211980
130,146,158,128,18,30,0.876712,0.810127,0.842105,3.641138,146,30.536122,36.643346,1.221445
131,145,159,129,16,30,0.889655,0.811321,0.848684,3.760398,145,30.263036,36.315643,1.210521
132,143,159,127,16,32,0.888112,0.798742,0.841060,3.624950,143,29.969925,35.963910,1.198797
133,142,161,126,16,35,0.887324,0.782609,0.831683,3.512284,142,29.917109,35.900531,1.196684
134,142,162,125,17,37,0.880282,0.771605,0.822368,3.601056,142,30.022901,36.027481,1.200916
135,141,163,123,18,40,0.872340,0.754601,0.809211,3.526445,141,29.770114,35.724137,1.190805
136,144,164,126,18,38,0.875000,0.768293,0.818182,3.364710,144,29.856168,35.827402,1.194247
137,147,166,129,18,37,0.877551,0.777108,0.824281,3.464944,147,29.743870,35.692644,1.189755
138,151,166,130,21,36,0.860927,0.783133,0.820189,3.515631,151,29.773572,35.728286,1.190943
139,153,168,133,20,35,0.869281,0.791667,0.828660,3.648970,153,30.225296,36.270356,1.209012
140,155,168,133,22,35,0.858065,0.791667,0.823529,3.435787,155,29.778031,35.733637,1.191121
141,156,168,136,20,32,0.871795,0.809524,0.839506,3.649137,156,29.832811,35.799374,1.193312
142,155,173,134,21,39,0.864516,0.774566,0.817073,3.651710,155,30.008723,36.010467,1.200349
143,161,175,139,22,36,0.863354,0.794286,0.827381,3.752041,161,29.449520,35.339424,1.177981
144,167,178,145,22,33,0.868263,0.814607,0.840580,3.655382,167,29.554128,35.464954,1.182165
145,162,180,141,21,39,0.870370,0.783333,0.824561,3.439326,162,29.404128,35.284953,1.176165
146,164,181,143,21,38,0.871951,0.790055,0.828986,3.461964,164,29.568380,35.482055,1.182735
147,167,184,147,20,37,0.880240,0.798913,0.837607,3.571170,167,29.246954,35.096344,1.169878
148,167,185,145,22,40,0.868263,0.783784,0.823864,3.676347,167,28.730978,34.477173,1.149239
149,172,184,147,25,37,0.854651,0.798913,0.825843,3.641272,172,28.434896,34.121876,1.137396
150,165,187,143,22,44,0.866667,0.764706,0.812500,3.544214,165,28.540440,34.248528,1.141618
151,168,188,146,22,42,0.869048,0.776596,0.820225,3.576399,168,28.251432,33.901719,1.130057
152,172,189,149,23,40,0.866279,0.788360,0.825485,3.807104,172,28.346108,34.015330,1.133844
153,174,189,152,22,37,0.873563,0.804233,0.837466,3.669063,174,28.684101,34.420921,1.147364
154,169,191,148,21,43,0.875740,0.774869,0.822222,3.806171,169,28.845547,34.614657,1.153822
155,173,191,149,24,42,0.861272,0.780105,0.818681,3.814924,173,28.350510,34.020612,1.134020
156,173,191,149,24,42,0.861272,0.780105,0.818681,3.892841,173,28.486544,34.183853,1.139462
157,177,194,154,23,40,0.870056,0.793814,0.830189,3.991033,177,28.298137,33.957764,1.131925
158,179,196,155,24,41,0.865922,0.790816,0.826667,4.211085,179,28.595851,34.315021,1.143834
159,180,197,154,26,43,0.855556,0.781726,0.816976,4.058456,180,27.952775,33.543330,1.118111
160,180,198,154,26,44,0.855556,0.777778,0.814815,3.972123,180,28.383919,34.060703,1.135357
161,179,198,153,26,45,0.854749,0.772727,0.811671,3.985761,179,28.553739,34.264487,1.142150
162,177,199,151,26,48,0.853107,0.758794,0.803191,3.766065,177,28.491871,34.190245,1.139675
163,177,204,152,25,52,0.858757,0.745098,0.797900,3.787911,177,28.231648,33.877977,1.129266
164,174,206,152,22,54,0.873563,0.737864,0.800000,4.135446,174,28.013805,33.616566,1.120552
165,178,206,157,21,49,0.882022,0.762136,0.817708,4.075397,178,28.259309,33.911171,1.130372
166,181,206,157,24,49,0.867403,0.762136,0.811370,3.804199,181,28.028834,33.634601,1.121153
167,184,207,158,26,49,0.858696,0.763285,0.808184,3.762207,184,27.691851,33.230221,1.107674
168,181,209,159,22,50,0.878453,0.760766,0.815385,3.753025,181,27.839685,33.407622,1.113587
169,184,211,160,24,51,0.869565,0.758294,0.810127,3.685699,184,27.857523,33.429028,1.114301
170,184,211,161,23,50,0.875000,0.763033,0.815190,3.898718,184,27.677456,33.212947,1.107098
171,184,214,162,22,52,0.880435,0.757009,0.814070,3.947790,184,27.724783,33.269739,1.108991
172,181,214,158,23,56,0.872928,0.738318,0.800000,3.833274,181,27.554474,33.065369,1.102179
173,190,215,163,27,52,0.857895,0.758140,0.804938,3.779552,190,27.311391,32.773670,1.092456
174,186,215,161,25,54,0.865591,0.748837,0.802993,3.862098,186,27.282061,32.738473,1.091282
175,192,217,163,29,54,0.848958,0.751152,0.797066,3.901406,192,27.477650,32.973180,1.099106
176,188,218,161,27,57,0.856383,0.738532,0.793103,3.951656,188,27.550943,33.061132,1.102038
177,190,221,159,31,62,0.836842,0.719457,0.773723,3.868822,190,27.728305,33.273966,1.109132
178,184,224,154,30,70,0.836957,0.687500,0.754902,3.832932,184,27.718817,33.262580,1.108753
179,191,226,162,29,64,0.848168,0.716814,0.776978,3.731851,191,27.214357,32.657229,1.088574
180,189,229,160,29,69,0.846561,0.698690,0.765550,3.819319,189,26.882398,32.258878,1.075296
181,193,228,161,32,67,0.834197,0.706140,0.764846,3.883724,193,27.417775,32.901330,1.096711
182,196,231,162,34,69,0.826531,0.701299,0.758782,3.872399,196,27.656562,33.187875,1.106262
183,199,231,168,31,63,0.844221,0.727273,0.781395,3.824175,199,27.057598,32.469118,1.082304
184,202,236,172,30,64,0.851485,0.728814,0.785388,3.734445,202,27.261798,32.714157,1.090472
185,208,238,177,31,61,0.850962,0.743697,0.793722,3.598525,208,26.876225,32.251470,1.075049
186,214,239,180,34,59,0.841121,0.753138,0.794702,3.498388,214,27.318156,32.781787,1.092726
187,212,239,180,32,59,0.849057,0.753138,0.798226,3.393986,212,27.284218,32.741062,1.091369
188,208,240,179,29,61,0.860577,0.745833,0.799107,3.529145,208,27.163676,32.596412,1.086547
189,211,241,178,33,63,0.843602,0.738589,0.787611,3.737278,211,27.095515,32.514618,1.083821
190,209,244,177,32,67,0.846890,0.725410,0.781457,3.534946,209,27.157186,32.588623,1.086287
191,210,249,182,28,67,0.866667,0.730924,0.793028,3.675693,210,27.389100,32.866920,1.095564
192,210,249,181,29,68,0.861905,0.726908,0.788671,3.522511,210,27.335396,32.802476,1.093416
193,213,255,180,33,75,0.845070,0.705882,0.769231,3.385255,213,27.534064,33.040876,1.101363
194,223,261,190,33,71,0.852018,0.727969,0.785124,3.391864,223,26.879152,32.254982,1.075166
195,222,263,192,30,71,0.864865,0.730038,0.791753,3.585986,222,27.221336,32.665603,1.088853
196,220,266,188,32,78,0.854545,0.706767,0.773663,3.676167,220,27.136550,32.563861,1.085462
197,215,269,186,29,83,0.865116,0.691450,0.768595,3.399976,215,27.058279,32.469935,1.082331
198,225,271,195,30,76,0.866667,0.719557,0.786290,3.319556,225,26.541115,31.849338,1.061645
199,225,274,198,27,76,0.880000,0.722628,0.793587,3.443664,225,26.204949,31.445938,1.048198
200,219,277,196,23,81,0.894977,0.707581,0.790323,3.563797,219,26.146312,31.375575,1.045852
201,226,279,197,29,82,0.871681,0.706093,0.780198,3.734118,226,26.169646,31.403575,1.046786
202,229,279,200,29,79,0.873362,0.716846,0.787402,3.778402,229,26.036909,31.244291,1.041476
203,228,282,200,28,82,0.877193,0.709220,0.784314,3.792230,228,25.596244,30.715493,1.023850
204,224,285,196,28,89,0.875000,0.687719,0.770138,3.833063,224,25.936639,31.123967,1.037466
205,225,287,199,26,88,0.884444,0.693380,0.777344,4.030920,225,25.657619,30.789143,1.026305
206,225,289,197,28,92,0.875556,0.681661,0.766537,4.161188,225,25.885334,31.062401,1.035413
207,231,292,204,27,88,0.883117,0.698630,0.780115,4.055706,231,26.157489,31.388987,1.046300
208,236,300,205,31,95,0.868644,0.683333,0.764925,4.081405,236,25.950429,31.140515,1.038017
209,245,305,217,28,88,0.885714,0.711475,0.789091,4.035847,245,25.972231,31.166678,1.038889
210,255,309,222,33,87,0.870588,0.718447,0.787234,3.836141,255,25.433273,30.519928,1.017331
211,258,314,225,33,89,0.872093,0.716561,0.786713,3.885369,258,25.011370,30.013644,1.000455
212,259,318,224,35,94,0.864865,0.704403,0.776430,3.679468,259,25.327503,30.393004,1.013100
213,253,322,220,33,102,0.869565,0.683230,0.765217,3.771659,253,25.181037,30.217244,1.007241
214,258,327,223,35,104,0.864341,0.681957,0.762393,3.859324,258,25.012659,30.015191,1.000506
215,257,330,220,37,110,0.856031,0.666667,0.749574,3.891182,257,24.967766,29.961319,0.998711
216,261,335,222,39,113,0.850575,0.662687,0.744966,3.812508,261,24.879283,29.855140,0.995171
217,272,337,235,37,102,0.863971,0.697329,0.771757,3.854547,272,25.084714,30.101656,1.003389
